product_id,product_code,sku,product_name,category_id,supplier_id,unit_cost,unit_price,discount_pct,weight_kg,brand,size,color,is_perishable,is_active,launch_date,discontinue_date,created_at,updated_at
24,PRD00024,SKU-rN60-JueC91,PeakForm Couple Women's Clothing,9,1,179.71,343.12,15,9.286,UrbanEdge,28,White,FALSE,TRUE,2022-10-28,,2022-10-28 00:00:00,2022-10-28 00:00:00
25,PRD00025,SKU-io44-OljN47,SwiftLine Reality Laptops,7,5,246.59,550.97,15,6.126,ClearPath,34,Green,FALSE,TRUE,2021-04-17,,2021-04-17 00:00:00,2021-04-17 00:00:00
26,PRD00026,SKU-lR03-GCLu10,DailyWear Analysis Furniture,12,13,26.82,66.73,10,10.182,NaturalChoice,30,Red,FALSE,TRUE,2021-09-08,,2021-09-08 00:00:00,2021-09-08 00:00:00
27,PRD00027,SKU-qb83-RwIT04,PureLife Another Beverages,11,4,211.98,478.22,20,5.04,TechPulse,M,Purple,TRUE,FALSE,2022-05-01,,2022-05-01 00:00:00,2022-05-01 00:00:00
28,PRD00028,SKU-eG93-ChGe51,NaturalChoice Economic Furniture,12,4,290.21,473.35,0,2.062,UrbanEdge,30,Pink,FALSE,TRUE,2023-06-19,,2023-06-19 00:00:00,2023-06-19 00:00:00
29,PRD00029,SKU-RA35-ePBs95,DailyWear Character Women's Clothing,9,17,136.5,233.21,0,6.965,NovaBrand,28,Blue,FALSE,TRUE,2023-05-01,,2023-05-01 00:00:00,2023-05-01 00:00:00
30,PRD00030,SKU-vA05-PxEs95,TechPulse Pretty Laptops,7,10,39.24,95.07,0,9.161,UrbanEdge,30,Brown,FALSE,TRUE,2019-10-18,,2019-10-18 00:00:00,2019-10-18 00:00:00
31,PRD00031,SKU-sj02-LbgM50,PureLife Development Laptops,7,10,134.26,282.72,0,16.223,PureLife,XS,Yellow,FALSE,TRUE,2020-10-15,,2020-10-15 00:00:00,2020-10-15 00:00:00
32,PRD00032,SKU-Tw58-nyLc89,EcoStyle Realize Men's Clothing,8,18,279.33,604.09,0,6.687,NaturalChoice,28,Black,FALSE,TRUE,2021-11-22,,2021-11-22 00:00:00,2021-11-22 00:00:00
33,PRD00033,SKU-oK26-GKOJ11,NovaBrand Similar Men's Clothing,8,20,59.98,123.23,0,9.047,NaturalChoice,ONE_SIZE,Red,FALSE,TRUE,2021-03-21,,2021-03-21 00:00:00,2021-03-21 00:00:00
34,PRD00034,SKU-Zd68-MEQH18,PureLife Nature Women's Clothing,9,19,87.11,184.23,0,16.01,PeakForm,M,Yellow,FALSE,TRUE,2023-06-19,,2023-06-19 00:00:00,2023-06-19 00:00:00
35,PRD00035,SKU-Ks75-pvpZ43,PeakForm Special Fitness Equipment,13,11,38.62,80.02,10,7.834,NaturalChoice,32,Blue,FALSE,TRUE,2021-09-29,,2021-09-29 00:00:00,2021-09-29 00:00:00
36,PRD00036,SKU-Vh53-SpCU75,ClearPath Up Fitness Equipment,13,20,187.12,422.49,10,1.787,EcoStyle,XXL,Blue,FALSE,TRUE,2022-12-16,,2022-12-16 00:00:00,2022-12-16 00:00:00
37,PRD00037,SKU-JG65-exPE15,NaturalChoice Point Laptops,7,14,59.0,123.99,10,2.844,NaturalChoice,ONE_SIZE,Green,FALSE,TRUE,2021-11-12,,2021-11-12 00:00:00,2021-11-12 00:00:00
38,PRD00038,SKU-Ki37-IpXA63,EcoStyle Represent Men's Clothing,8,11,168.7,309.82,20,9.075,NovaBrand,XXL,Red,FALSE,TRUE,2019-10-15,,2019-10-15 00:00:00,2019-10-15 00:00:00
39,PRD00039,SKU-Ys92-vuhf94,SwiftLine Issue Women's Clothing,9,14,245.49,602.18,15,9.885,SwiftLine,28,Green,FALSE,TRUE,2021-11-01,,2021-11-01 00:00:00,2021-11-01 00:00:00
40,PRD00040,SKU-FO68-XmlD29,ClearPath Administration Smartphones,6,8,239.78,356.48,10,5.845,SwiftLine,32,Brown,FALSE,TRUE,2019-03-08,,2019-03-08 00:00:00,2019-03-08 00:00:00
41,PRD00041,SKU-WJ21-TEVg64,TechPulse Card Laptops,7,18,173.95,269.32,20,15.16,SwiftLine,30,Black,FALSE,TRUE,2022-01-17,,2022-01-17 00:00:00,2022-01-17 00:00:00
42,PRD00042,SKU-ei06-GHyB02,ClearPath Health Laptops,7,2,222.12,455.3,5,5.33,PureLife,28,Blue,FALSE,TRUE,2020-05-21,,2020-05-21 00:00:00,2020-05-21 00:00:00
43,PRD00043,SKU-Ts26-hvvL83,TechPulse Politics Women's Clothing,9,20,66.91,144.45,15,8.621,DailyWear,M,Black,FALSE,TRUE,2022-11-12,,2022-11-12 00:00:00,2022-11-12 00:00:00
44,PRD00044,SKU-Vw91-CAOC01,PeakForm Sit Smartphones,6,6,173.17,327.63,0,19.582,ClearPath,XL,Purple,FALSE,TRUE,2022-05-07,,2022-05-07 00:00:00,2022-05-07 00:00:00
45,PRD00045,SKU-Ul64-UXLG72,NovaBrand Because Laptops,7,9,45.0,97.88,20,13.152,EcoStyle,L,Green,FALSE,TRUE,2021-04-22,,2021-04-22 00:00:00,2021-04-22 00:00:00
46,PRD00046,SKU-xR20-PDyu99,EcoStyle Leg Women's Clothing,9,19,229.63,477.42,15,5.447,NaturalChoice,ONE_SIZE,Brown,FALSE,FALSE,2021-09-29,,2021-09-29 00:00:00,2021-09-29 00:00:00
47,PRD00047,SKU-Xg28-otFv94,TechPulse Anything Laptops,7,15,123.84,269.32,5,6.613,NovaBrand,S,Brown,FALSE,TRUE,2022-11-23,,2022-11-23 00:00:00,2022-11-23 00:00:00
48,PRD00048,SKU-GB98-suyu89,UrbanEdge Sometimes Beverages,11,14,255.78,571.51,20,4.316,ClearPath,XXL,White,TRUE,TRUE,2021-03-25,,2021-03-25 00:00:00,2021-03-25 00:00:00
49,PRD00049,SKU-BH22-rKNu03,NovaBrand Bit Men's Clothing,8,2,172.01,314.94,0,12.561,SwiftLine,XS,Blue,FALSE,TRUE,2020-12-04,,2020-12-04 00:00:00,2020-12-04 00:00:00
50,PRD00050,SKU-sr54-FCok21,UrbanEdge Fight Men's Clothing,8,5,135.18,162.33,15,6.107,ClearPath,S,Yellow,FALSE,TRUE,2021-05-26,,2021-05-26 00:00:00,2021-05-26 00:00:00
51,PRD00051,SKU-Qr49-jgnJ13,NaturalChoice This Beverages,11,10,201.03,410.82,15,14.019,UrbanEdge,ONE_SIZE,Blue,TRUE,TRUE,2019-04-17,,2019-04-17 00:00:00,2019-04-17 00:00:00
52,PRD00052,SKU-cI82-IZma09,UrbanEdge Middle Smartphones,6,17,67.96,88.44,15,8.957,NovaBrand,XXL,Blue,FALSE,TRUE,2022-04-30,,2022-04-30 00:00:00,2022-04-30 00:00:00
53,PRD00053,SKU-KB05-UCHi34,NaturalChoice Then Furniture,12,3,209.74,381.94,15,16.139,PureLife,XXL,Yellow,FALSE,TRUE,2020-04-13,,2020-04-13 00:00:00,2020-04-13 00:00:00
54,PRD00054,SKU-CB74-Fqfi11,EcoStyle Family Men's Clothing,8,5,117.9,266.14,0,10.657,NovaBrand,32,Green,FALSE,TRUE,2023-11-26,,2023-11-26 00:00:00,2023-11-26 00:00:00
55,PRD00055,SKU-Ue15-ukGv13,DailyWear Fact Women's Clothing,9,15,190.28,265.78,20,4.423,PureLife,M,Blue,FALSE,TRUE,2021-04-23,,2021-04-23 00:00:00,2021-04-23 00:00:00
56,PRD00056,SKU-cB78-gTYH15,EcoStyle Friend Furniture,12,8,108.7,191.12,0,12.928,UrbanEdge,30,Purple,FALSE,TRUE,2023-06-09,,2023-06-09 00:00:00,2023-06-09 00:00:00
57,PRD00057,SKU-pi38-LyoR00,ClearPath Deal Groceries,10,7,234.8,492.52,10,12.178,UrbanEdge,ONE_SIZE,White,TRUE,TRUE,2023-10-03,,2023-10-03 00:00:00,2023-10-03 00:00:00
58,PRD00058,SKU-lU47-Fsim27,DailyWear Prove Women's Clothing,9,3,150.99,203.32,10,17.786,NovaBrand,XXL,Yellow,FALSE,TRUE,2021-10-20,,2021-10-20 00:00:00,2021-10-20 00:00:00
59,PRD00059,SKU-Be18-FJNn30,SwiftLine See Furniture,12,3,112.8,235.51,0,11.789,NovaBrand,XL,Black,FALSE,FALSE,2023-04-12,,2023-04-12 00:00:00,2023-04-12 00:00:00
60,PRD00060,SKU-Ny20-OLpO64,PeakForm Happy Smartphones,6,14,284.86,489.21,5,14.066,PureLife,34,Pink,FALSE,TRUE,2020-08-09,,2020-08-09 00:00:00,2020-08-09 00:00:00
61,PRD00061,SKU-os78-QFFY24,UrbanEdge Professor Men's Clothing,8,5,86.85,139.21,10,6.602,DailyWear,34,Blue,FALSE,TRUE,2021-11-13,,2021-11-13 00:00:00,2021-11-13 00:00:00
62,PRD00062,SKU-Es69-gohW58,UrbanEdge South Furniture,12,3,220.34,506.87,5,2.408,DailyWear,32,Red,FALSE,TRUE,2019-04-29,,2019-04-29 00:00:00,2019-04-29 00:00:00
63,PRD00063,SKU-pQ46-BhlD75,NovaBrand From Men's Clothing,8,6,40.24,85.32,5,19.065,PeakForm,30,White,FALSE,TRUE,2022-12-07,,2022-12-07 00:00:00,2022-12-07 00:00:00
64,PRD00064,SKU-XE15-ZFMA62,PureLife Right Men's Clothing,8,1,226.18,528.24,0,16.161,ClearPath,30,Blue,FALSE,TRUE,2023-02-10,,2023-02-10 00:00:00,2023-02-10 00:00:00
65,PRD00065,SKU-Gn30-YAdJ44,SwiftLine Sport Laptops,7,19,151.36,282.14,0,7.417,ClearPath,S,Purple,FALSE,TRUE,2019-04-24,,2019-04-24 00:00:00,2019-04-24 00:00:00
66,PRD00066,SKU-zZ54-CBzq56,NovaBrand While Laptops,7,8,72.38,134.73,0,9.488,NaturalChoice,M,Green,FALSE,TRUE,2019-04-01,,2019-04-01 00:00:00,2019-04-01 00:00:00
67,PRD00067,SKU-vO04-ctCA73,NaturalChoice Do Smartphones,6,8,168.1,401.44,0,5.04,TechPulse,XL,Blue,FALSE,TRUE,2023-02-25,,2023-02-25 00:00:00,2023-02-25 00:00:00
68,PRD00068,SKU-XO92-hNNv83,UrbanEdge Carry Laptops,7,17,153.1,363.23,0,19.086,PureLife,28,White,FALSE,TRUE,2020-01-03,,2020-01-03 00:00:00,2020-01-03 00:00:00
69,PRD00069,SKU-Zy98-fXTv00,TechPulse While Groceries,10,7,101.55,194.88,0,11.32,ClearPath,32,Black,TRUE,TRUE,2019-01-17,,2019-01-17 00:00:00,2019-01-17 00:00:00
70,PRD00070,SKU-Hn58-xImk10,PeakForm This Fitness Equipment,13,8,299.35,661.16,0,0.227,NaturalChoice,XS,Black,FALSE,TRUE,2023-02-09,,2023-02-09 00:00:00,2023-02-09 00:00:00
71,PRD00071,SKU-Zk86-xvAn34,NaturalChoice On Smartphones,6,10,285.54,343.19,0,4.183,UrbanEdge,ONE_SIZE,Brown,FALSE,TRUE,2022-09-08,,2022-09-08 00:00:00,2022-09-08 00:00:00
72,PRD00072,SKU-WH30-gGzY00,PeakForm Memory Men's Clothing,8,14,214.94,283.92,15,17.922,SwiftLine,S,Purple,FALSE,TRUE,2020-04-19,,2020-04-19 00:00:00,2020-04-19 00:00:00
73,PRD00073,SKU-bo02-OXSp44,DailyWear Along Men's Clothing,8,2,192.98,330.51,5,13.283,EcoStyle,L,White,FALSE,TRUE,2022-04-27,,2022-04-27 00:00:00,2022-04-27 00:00:00
74,PRD00074,SKU-iV41-rfee66,TechPulse Mother Beverages,11,11,278.18,475.92,5,5.512,PureLife,L,Green,TRUE,TRUE,2023-08-31,,2023-08-31 00:00:00,2023-08-31 00:00:00
75,PRD00075,SKU-Mj60-gVLY08,TechPulse Include Laptops,7,14,50.85,71.89,0,10.765,UrbanEdge,28,White,FALSE,TRUE,2021-08-12,,2021-08-12 00:00:00,2021-08-12 00:00:00
76,PRD00076,SKU-BG39-Vbtr45,DailyWear Low Laptops,7,2,31.67,71.25,0,16.735,TechPulse,M,Blue,FALSE,TRUE,2020-09-15,,2020-09-15 00:00:00,2020-09-15 00:00:00
77,PRD00077,SKU-Ey31-sBfo49,ClearPath Investment Beverages,11,6,121.89,154.02,0,19.047,SwiftLine,30,Pink,TRUE,TRUE,2020-09-04,,2020-09-04 00:00:00,2020-09-04 00:00:00
78,PRD00078,SKU-SI84-Gpyb74,NovaBrand Model Fitness Equipment,13,2,35.06,78.25,20,15.641,UrbanEdge,M,Black,FALSE,TRUE,2019-09-06,,2019-09-06 00:00:00,2019-09-06 00:00:00
79,PRD00079,SKU-Co65-KbzX81,DailyWear Each Beverages,11,19,207.45,501.79,0,18.357,PureLife,XS,Blue,TRUE,TRUE,2019-06-22,,2019-06-22 00:00:00,2019-06-22 00:00:00
80,PRD00080,SKU-gP75-tvjZ79,TechPulse Professor Fitness Equipment,13,4,243.74,321.63,0,18.851,NovaBrand,M,Purple,FALSE,TRUE,2023-10-02,,2023-10-02 00:00:00,2023-10-02 00:00:00
81,PRD00081,SKU-nF11-Lpfj82,EcoStyle Interesting Furniture,12,12,151.36,256.94,0,18.175,ClearPath,XL,Brown,FALSE,TRUE,2021-05-23,,2021-05-23 00:00:00,2021-05-23 00:00:00
82,PRD00082,SKU-Wo97-dXFq89,ClearPath Its Smartphones,6,16,186.16,372.71,5,17.667,SwiftLine,XS,Blue,FALSE,TRUE,2022-08-18,,2022-08-18 00:00:00,2022-08-18 00:00:00
83,PRD00083,SKU-uS45-KMAa20,PeakForm Executive Men's Clothing,8,8,128.67,261.9,15,19.882,PeakForm,XS,Gray,FALSE,TRUE,2023-06-21,,2023-06-21 00:00:00,2023-06-21 00:00:00
84,PRD00084,SKU-Fu38-PpuD78,DailyWear Section Beverages,11,17,146.51,324.65,0,7.829,EcoStyle,XS,Yellow,TRUE,TRUE,2020-12-05,,2020-12-05 00:00:00,2020-12-05 00:00:00
85,PRD00085,SKU-gB78-Seyi81,SwiftLine Sometimes Smartphones,6,17,269.25,595.61,0,15.36,UrbanEdge,M,Blue,FALSE,TRUE,2019-04-30,,2019-04-30 00:00:00,2019-04-30 00:00:00
86,PRD00086,SKU-km02-ChcB81,NovaBrand Mission Women's Clothing,9,8,83.63,189.1,10,16.945,NaturalChoice,XXL,Green,FALSE,TRUE,2023-02-18,,2023-02-18 00:00:00,2023-02-18 00:00:00
87,PRD00087,SKU-VJ28-Azas72,NovaBrand Buy Beverages,11,12,242.83,511.62,10,11.316,DailyWear,L,Brown,TRUE,TRUE,2022-04-26,,2022-04-26 00:00:00,2022-04-26 00:00:00
88,PRD00088,SKU-uN64-xKPk48,DailyWear Chance Men's Clothing,8,8,149.68,197.18,0,10.576,NovaBrand,XXL,Purple,FALSE,TRUE,2020-04-21,,2020-04-21 00:00:00,2020-04-21 00:00:00
89,PRD00089,SKU-Tx48-HMqE39,TechPulse Maintain Men's Clothing,8,2,105.52,150.97,0,3.039,EcoStyle,S,Pink,FALSE,TRUE,2023-07-02,,2023-07-02 00:00:00,2023-07-02 00:00:00
90,PRD00090,SKU-HT35-EauA22,DailyWear Country Laptops,7,4,115.21,279.33,0,6.105,EcoStyle,M,Gray,FALSE,TRUE,2021-03-21,,2021-03-21 00:00:00,2021-03-21 00:00:00
91,PRD00091,SKU-tS27-mmSg10,DailyWear Note Fitness Equipment,13,12,196.51,280.31,0,13.344,EcoStyle,ONE_SIZE,White,FALSE,TRUE,2022-02-24,,2022-02-24 00:00:00,2022-02-24 00:00:00
92,PRD00092,SKU-ND75-Mkew10,DailyWear Provide Groceries,10,13,42.57,91.42,20,19.886,DailyWear,XS,Green,TRUE,TRUE,2022-12-08,,2022-12-08 00:00:00,2022-12-08 00:00:00
93,PRD00093,SKU-mr83-sBLU50,EcoStyle Follow Women's Clothing,9,11,193.7,258.66,15,1.648,TechPulse,XXL,Green,FALSE,TRUE,2021-10-13,,2021-10-13 00:00:00,2021-10-13 00:00:00
94,PRD00094,SKU-JI59-PQme64,TechPulse Person Laptops,7,15,247.39,512.35,0,5.378,UrbanEdge,S,Yellow,FALSE,TRUE,2023-02-02,,2023-02-02 00:00:00,2023-02-02 00:00:00
95,PRD00095,SKU-lq21-KgiZ34,NaturalChoice Nearly Laptops,7,6,217.52,274.64,5,9.912,NaturalChoice,XXL,Pink,FALSE,TRUE,2021-06-16,,2021-06-16 00:00:00,2021-06-16 00:00:00
96,PRD00096,SKU-XL96-MrZV59,UrbanEdge Try Fitness Equipment,13,6,237.68,463.83,5,1.567,NovaBrand,XL,Red,FALSE,TRUE,2023-04-02,,2023-04-02 00:00:00,2023-04-02 00:00:00
97,PRD00097,SKU-aY97-onfZ32,EcoStyle Possible Laptops,7,3,26.89,38.21,10,18.842,PureLife,XXL,Purple,FALSE,TRUE,2021-02-07,,2021-02-07 00:00:00,2021-02-07 00:00:00
98,PRD00098,SKU-au22-ediG27,EcoStyle Surface Fitness Equipment,13,20,212.83,374.73,5,3.226,PureLife,XXL,Black,FALSE,TRUE,2022-08-31,,2022-08-31 00:00:00,2022-08-31 00:00:00
99,PRD00099,SKU-tG76-WhpJ75,PeakForm Increase Furniture,12,9,210.67,450.55,15,5.702,UrbanEdge,S,Red,FALSE,TRUE,2023-02-03,,2023-02-03 00:00:00,2023-02-03 00:00:00
100,PRD00100,SKU-tH66-uHfM75,PureLife Thousand Fitness Equipment,13,10,50.31,83.97,20,13.274,DailyWear,28,Black,FALSE,TRUE,2021-05-25,,2021-05-25 00:00:00,2021-05-25 00:00:00
101,PRD00101,SKU-BJ32-CFSY42,SwiftLine Enough Women's Clothing,9,4,55.4,87.5,0,15.719,SwiftLine,28,White,FALSE,TRUE,2019-06-17,,2019-06-17 00:00:00,2019-06-17 00:00:00
102,PRD00102,SKU-lb18-xDXQ65,EcoStyle Half Furniture,12,15,59.54,139.99,0,5.34,SwiftLine,XL,Black,FALSE,TRUE,2021-01-26,,2021-01-26 00:00:00,2021-01-26 00:00:00
103,PRD00103,SKU-my63-xlVa98,PureLife Deal Smartphones,6,12,49.58,104.39,20,10.875,DailyWear,L,Pink,FALSE,FALSE,2019-07-18,,2019-07-18 00:00:00,2019-07-18 00:00:00
104,PRD00104,SKU-aL75-tvgx83,SwiftLine Whole Furniture,12,19,246.43,429.83,0,9.578,PureLife,ONE_SIZE,Red,FALSE,TRUE,2022-01-01,,2022-01-01 00:00:00,2022-01-01 00:00:00
105,PRD00105,SKU-rc48-PrPE09,EcoStyle Information Men's Clothing,8,7,40.48,88.42,20,3.935,NovaBrand,ONE_SIZE,Blue,FALSE,TRUE,2019-12-21,,2019-12-21 00:00:00,2019-12-21 00:00:00
106,PRD00106,SKU-Kb04-TEMO40,DailyWear Look Furniture,12,9,64.57,146.53,0,18.225,PureLife,S,Gray,FALSE,TRUE,2019-10-30,,2019-10-30 00:00:00,2019-10-30 00:00:00
107,PRD00107,SKU-Zg72-cxbN78,NovaBrand Wall Beverages,11,20,257.7,483.34,10,10.499,NaturalChoice,S,Gray,TRUE,TRUE,2023-11-24,,2023-11-24 00:00:00,2023-11-24 00:00:00
108,PRD00108,SKU-Ah22-dCOT21,ClearPath Assume Laptops,7,18,277.85,536.66,0,17.57,ClearPath,ONE_SIZE,Brown,FALSE,TRUE,2019-07-26,,2019-07-26 00:00:00,2019-07-26 00:00:00
109,PRD00109,SKU-mP51-NVbv84,DailyWear Third Fitness Equipment,13,20,16.05,25.01,15,13.904,NovaBrand,ONE_SIZE,Yellow,FALSE,TRUE,2019-10-22,,2019-10-22 00:00:00,2019-10-22 00:00:00
110,PRD00110,SKU-Ha52-QzAQ95,NovaBrand Relationship Smartphones,6,11,225.0,539.34,20,15.894,ClearPath,XL,Brown,FALSE,TRUE,2021-02-01,,2021-02-01 00:00:00,2021-02-01 00:00:00
111,PRD00111,SKU-jU01-rflC38,SwiftLine Another Laptops,7,11,291.89,436.77,0,14.603,DailyWear,34,Blue,FALSE,TRUE,2020-09-07,,2020-09-07 00:00:00,2020-09-07 00:00:00
112,PRD00112,SKU-Al49-OVat38,PeakForm Eye Women's Clothing,9,12,274.46,474.63,20,1.218,EcoStyle,S,White,FALSE,TRUE,2021-09-19,,2021-09-19 00:00:00,2021-09-19 00:00:00
113,PRD00113,SKU-DK85-SfKD15,DailyWear Behavior Furniture,12,1,45.02,103.85,0,3.936,UrbanEdge,XS,Black,FALSE,FALSE,2023-12-06,,2023-12-06 00:00:00,2023-12-06 00:00:00
114,PRD00114,SKU-lu11-LObX21,TechPulse Condition Smartphones,6,15,275.82,583.64,10,7.999,PureLife,34,Red,FALSE,TRUE,2020-07-15,,2020-07-15 00:00:00,2020-07-15 00:00:00
115,PRD00115,SKU-fU03-ptRP57,SwiftLine Yes Fitness Equipment,13,19,180.24,257.9,10,7.06,EcoStyle,XL,Blue,FALSE,TRUE,2023-11-18,,2023-11-18 00:00:00,2023-11-18 00:00:00
116,PRD00116,SKU-yT32-slri40,UrbanEdge Other Furniture,12,8,19.65,45.39,15,4.58,UrbanEdge,XL,Gray,FALSE,TRUE,2023-05-17,,2023-05-17 00:00:00,2023-05-17 00:00:00
117,PRD00117,SKU-rm56-lsqS33,DailyWear Less Smartphones,6,1,144.86,198.75,0,5.123,ClearPath,34,White,FALSE,TRUE,2019-12-21,,2019-12-21 00:00:00,2019-12-21 00:00:00
118,PRD00118,SKU-Lx41-wXPH75,SwiftLine Listen Furniture,12,10,256.22,460.35,15,10.461,DailyWear,ONE_SIZE,Purple,FALSE,TRUE,2020-03-22,,2020-03-22 00:00:00,2020-03-22 00:00:00
119,PRD00119,SKU-jI20-KnSB96,ClearPath Hand Beverages,11,4,170.63,336.47,5,1.37,ClearPath,34,Yellow,TRUE,TRUE,2020-08-01,,2020-08-01 00:00:00,2020-08-01 00:00:00
120,PRD00120,SKU-JV43-YrfG58,ClearPath Spring Groceries,10,7,198.56,484.06,0,10.394,UrbanEdge,XS,Purple,TRUE,TRUE,2022-08-27,,2022-08-27 00:00:00,2022-08-27 00:00:00
121,PRD00121,SKU-qc34-hHQO37,SwiftLine Cultural Beverages,11,10,205.82,439.97,0,18.148,NaturalChoice,ONE_SIZE,Red,TRUE,TRUE,2022-09-04,,2022-09-04 00:00:00,2022-09-04 00:00:00
122,PRD00122,SKU-ux72-KyQL79,PeakForm Wear Women's Clothing,9,16,106.23,225.99,15,7.234,ClearPath,M,Pink,FALSE,TRUE,2022-11-06,,2022-11-06 00:00:00,2022-11-06 00:00:00
123,PRD00123,SKU-ak05-AEvv15,PeakForm Raise Laptops,7,6,143.88,311.24,15,18.002,PureLife,L,Yellow,FALSE,TRUE,2023-01-25,,2023-01-25 00:00:00,2023-01-25 00:00:00
