line_id,transaction_id,line_number,product_id,quantity,unit_price,unit_cost,discount_pct,discount_amount,line_total_amount,line_cost_amount,tax_rate,tax_amount,created_at
48,14,3,96,4,463.83,237.68,5.0,92.77,1762.55,950.72,8.0,141.0,2024-05-25 14:13:00
49,14,4,94,2,512.35,247.39,0.0,0.0,1024.7,494.78,8.0,81.98,2024-05-25 14:13:00
50,15,1,111,2,436.77,291.89,0.0,0.0,873.54,583.78,8.0,69.88,2023-10-04 20:15:00
51,15,2,98,4,374.73,212.83,5.0,74.95,1423.97,851.32,8.0,113.92,2023-10-04 20:15:00
52,15,3,51,1,410.82,201.03,15.0,61.62,349.2,201.03,8.0,27.94,2023-10-04 20:15:00
53,15,4,38,2,309.82,168.7,20.0,123.93,495.71,337.4,8.0,39.66,2023-10-04 20:15:00
54,15,5,190,4,83.5,44.74,0.0,0.0,334.0,178.96,8.0,26.72,2023-10-04 20:15:00
55,16,1,146,2,29.57,19.85,20.0,11.83,47.31,39.7,8.0,3.78,2024-05-13 12:16:00
56,16,2,13,1,443.38,279.02,20.0,88.68,354.7,279.02,8.0,28.38,2024-05-13 12:16:00
57,16,3,102,2,139.99,59.54,0.0,0.0,279.98,119.08,8.0,22.4,2024-05-13 12:16:00
58,16,4,26,3,66.73,26.82,10.0,20.02,180.17,80.46,8.0,14.41,2024-05-13 12:16:00
59,16,5,177,4,115.0,78.95,0.0,0.0,460.0,315.8,8.0,36.8,2024-05-13 12:16:00
60,17,1,89,1,150.97,105.52,0.0,0.0,150.97,105.52,8.0,12.08,2024-07-27 16:59:00
61,17,2,6,3,400.14,230.48,15.0,180.06,1020.36,691.44,8.0,81.63,2024-07-27 16:59:00
62,17,3,106,5,146.53,64.57,0.0,0.0,732.65,322.85,8.0,58.61,2024-07-27 16:59:00
63,18,1,131,4,251.67,106.11,20.0,201.34,805.34,424.44,8.0,64.43,2023-10-19 13:20:00
64,18,2,125,5,209.65,144.3,0.0,0.0,1048.25,721.5,8.0,83.86,2023-10-19 13:20:00
65,18,3,199,3,395.59,227.72,0.0,0.0,1186.77,683.16,8.0,94.94,2023-10-19 13:20:00
66,18,4,189,4,521.91,244.3,0.0,0.0,2087.64,977.2,8.0,167.01,2023-10-19 13:20:00
67,18,5,115,2,257.9,180.24,10.0,51.58,464.22,360.48,8.0,37.14,2023-10-19 13:20:00
68,18,6,21,2,262.01,180.17,0.0,0.0,524.02,360.34,8.0,41.92,2023-10-19 13:20:00
69,19,1,59,3,235.51,112.8,0.0,0.0,706.53,338.4,8.0,56.52,2023-03-15 09:10:00
70,19,2,81,3,256.94,151.36,0.0,0.0,770.82,454.08,8.0,61.67,2023-03-15 09:10:00
71,19,3,82,5,372.71,186.16,5.0,93.18,1770.37,930.8,8.0,141.63,2023-03-15 09:10:00
72,20,1,6,2,400.14,230.48,15.0,120.04,680.24,460.96,8.0,54.42,2024-04-06 14:10:00
73,20,2,33,3,123.23,59.98,0.0,0.0,369.69,179.94,8.0,29.58,2024-04-06 14:10:00
74,21,1,141,4,492.42,240.97,0.0,0.0,1969.68,963.88,8.0,157.57,2023-04-08 09:59:00
75,21,2,14,5,499.29,238.2,0.0,0.0,2496.45,1191.0,8.0,199.72,2023-04-08 09:59:00
76,21,3,7,1,243.47,199.49,0.0,0.0,243.47,199.49,8.0,19.48,2023-04-08 09:59:00
77,21,4,198,1,168.14,125.61,0.0,0.0,168.14,125.61,8.0,13.45,2023-04-08 09:59:00
78,22,1,34,2,184.23,87.11,0.0,0.0,368.46,174.22,8.0,29.48,2023-10-18 15:40:00
79,22,2,135,1,304.43,128.55,0.0,0.0,304.43,128.55,8.0,24.35,2023-10-18 15:40:00
80,23,1,35,5,80.02,38.62,10.0,40.01,360.09,193.1,8.0,28.81,2024-07-07 12:35:00
81,23,2,179,5,115.5,77.62,20.0,115.5,462.0,388.1,8.0,36.96,2024-07-07 12:35:00
82,23,3,139,4,176.49,130.67,20.0,141.19,564.77,522.68,8.0,45.18,2024-07-07 12:35:00
83,23,4,46,5,477.42,229.63,15.0,358.06,2029.04,1148.15,8.0,162.32,2024-07-07 12:35:00
84,24,1,114,3,583.64,275.82,10.0,175.09,1575.83,827.46,8.0,126.07,2024-07-06 11:51:00
85,25,1,89,4,150.97,105.52,0.0,0.0,603.88,422.08,8.0,48.31,2024-06-19 21:48:00
86,25,2,74,5,475.92,278.18,5.0,118.98,2260.62,1390.9,8.0,180.85,2024-06-19 21:48:00
87,26,1,60,4,489.21,284.86,5.0,97.84,1859.0,1139.44,8.0,148.72,2024-03-16 20:18:00
88,26,2,2,5,319.65,142.47,0.0,0.0,1598.25,712.35,8.0,127.86,2024-03-16 20:18:00
89,26,3,141,4,492.42,240.97,0.0,0.0,1969.68,963.88,8.0,157.57,2024-03-16 20:18:00
90,26,4,96,4,463.83,237.68,5.0,92.77,1762.55,950.72,8.0,141.0,2024-03-16 20:18:00
91,26,5,49,2,314.94,172.01,0.0,0.0,629.88,344.02,8.0,50.39,2024-03-16 20:18:00
92,27,1,196,3,403.42,237.92,5.0,60.51,1149.75,713.76,8.0,91.98,2024-03-08 18:15:00
93,27,2,157,5,481.62,203.9,20.0,481.62,1926.48,1019.5,8.0,154.12,2024-03-08 18:15:00
94,27,3,178,3,176.35,98.75,0.0,0.0,529.05,296.25,8.0,42.32,2024-03-08 18:15:00
95,27,4,176,4,89.49,62.33,20.0,71.59,286.37,249.32,8.0,22.91,2024-03-08 18:15:00
96,27,5,70,2,661.16,299.35,0.0,0.0,1322.32,598.7,8.0,105.79,2024-03-08 18:15:00
97,28,1,126,1,109.67,47.25,0.0,0.0,109.67,47.25,8.0,8.77,2024-04-08 12:44:00
98,28,2,49,5,314.94,172.01,0.0,0.0,1574.7,860.05,8.0,125.98,2024-04-08 12:44:00
99,28,3,83,1,261.9,128.67,15.0,39.28,222.62,128.67,8.0,17.81,2024-04-08 12:44:00
100,28,4,5,2,117.35,54.93,15.0,35.2,199.5,109.86,8.0,15.96,2024-04-08 12:44:00
101,28,5,39,1,602.18,245.49,15.0,90.33,511.85,245.49,8.0,40.95,2024-04-08 12:44:00
102,29,1,108,3,536.66,277.85,0.0,0.0,1609.98,833.55,8.0,128.8,2023-01-16 15:13:00
103,29,2,80,4,321.63,243.74,0.0,0.0,1286.52,974.96,8.0,102.92,2023-01-16 15:13:00
104,29,3,128,1,304.41,124.0,10.0,30.44,273.97,124.0,8.0,21.92,2023-01-16 15:13:00
105,30,1,65,1,282.14,151.36,0.0,0.0,282.14,151.36,8.0,22.57,2024-07-10 15:11:00
106,30,2,98,1,374.73,212.83,5.0,18.74,355.99,212.83,8.0,28.48,2024-07-10 15:11:00
107,31,1,134,2,137.24,65.62,15.0,41.17,233.31,131.24,8.0,18.66,2023-07-23 15:47:00
108,32,1,124,2,303.62,129.04,0.0,0.0,607.24,258.08,8.0,48.58,2024-07-16 16:07:00
109,32,2,164,3,469.49,233.23,20.0,281.69,1126.78,699.69,8.0,90.14,2024-07-16 16:07:00
110,32,3,77,1,154.02,121.89,0.0,0.0,154.02,121.89,8.0,12.32,2024-07-16 16:07:00
111,33,1,150,2,280.85,166.57,5.0,28.09,533.61,333.14,8.0,42.69,2023-01-16 10:50:00
112,33,2,31,1,282.72,134.26,0.0,0.0,282.72,134.26,8.0,22.62,2023-01-16 10:50:00
113,33,3,102,1,139.99,59.54,0.0,0.0,139.99,59.54,8.0,11.2,2023-01-16 10:50:00
114,34,1,24,1,343.12,179.71,15.0,51.47,291.65,179.71,8.0,23.33,2023-04-02 11:10:00
115,34,2,176,1,89.49,62.33,20.0,17.9,71.59,62.33,8.0,5.73,2023-04-02 11:10:00
116,34,3,159,3,82.03,35.23,15.0,36.91,209.18,105.69,8.0,16.73,2023-04-02 11:10:00
117,34,4,87,2,511.62,242.83,10.0,102.32,920.92,485.66,8.0,73.67,2023-04-02 11:10:00
118,35,1,113,1,103.85,45.02,0.0,0.0,103.85,45.02,8.0,8.31,2024-07-25 20:41:00
119,35,2,188,4,70.02,53.85,0.0,0.0,280.08,215.4,8.0,22.41,2024-07-25 20:41:00
120,35,3,50,3,162.33,135.18,15.0,73.05,413.94,405.54,8.0,33.12,2024-07-25 20:41:00
121,36,1,49,3,314.94,172.01,0.0,0.0,944.82,516.03,8.0,75.59,2023-10-29 16:44:00
122,36,2,146,3,29.57,19.85,20.0,17.74,70.97,59.55,8.0,5.68,2023-10-29 16:44:00
123,36,3,48,4,571.51,255.78,20.0,457.21,1828.83,1023.12,8.0,146.31,2023-10-29 16:44:00
124,36,4,140,3,348.9,264.15,0.0,0.0,1046.7,792.45,8.0,83.74,2023-10-29 16:44:00
125,37,1,1,4,184.37,122.01,5.0,36.87,700.61,488.04,8.0,56.05,2023-09-27 16:23:00
126,37,2,199,2,395.59,227.72,0.0,0.0,791.18,455.44,8.0,63.29,2023-09-27 16:23:00
127,37,3,164,1,469.49,233.23,20.0,93.9,375.59,233.23,8.0,30.05,2023-09-27 16:23:00
128,37,4,130,5,123.25,54.27,15.0,92.44,523.81,271.35,8.0,41.9,2023-09-27 16:23:00
129,38,1,128,3,304.41,124.0,10.0,91.32,821.91,372.0,8.0,65.75,2024-02-01 11:33:00
130,38,2,197,4,97.84,81.05,10.0,39.14,352.22,324.2,8.0,28.18,2024-02-01 11:33:00
131,38,3,142,3,503.14,241.67,20.0,301.88,1207.54,725.01,8.0,96.6,2024-02-01 11:33:00
132,38,4,40,1,356.48,239.78,10.0,35.65,320.83,239.78,8.0,25.67,2024-02-01 11:33:00
133,38,5,157,1,481.62,203.9,20.0,96.32,385.3,203.9,8.0,30.82,2024-02-01 11:33:00
134,38,6,73,5,330.51,192.98,5.0,82.63,1569.92,964.9,8.0,125.59,2024-02-01 11:33:00
135,39,1,26,5,66.73,26.82,10.0,33.37,300.28,134.1,8.0,24.02,2023-07-26 09:31:00
136,39,2,9,4,312.02,239.51,0.0,0.0,1248.08,958.04,8.0,99.85,2023-07-26 09:31:00
137,40,1,184,4,406.12,222.1,20.0,324.9,1299.58,888.4,8.0,103.97,2023-02-20 13:14:00
138,40,2,19,1,421.77,218.83,0.0,0.0,421.77,218.83,8.0,33.74,2023-02-20 13:14:00
139,40,3,4,4,312.35,152.29,20.0,249.88,999.52,609.16,8.0,79.96,2023-02-20 13:14:00
140,40,4,54,1,266.14,117.9,0.0,0.0,266.14,117.9,8.0,21.29,2023-02-20 13:14:00
141,40,5,168,3,291.71,156.72,15.0,131.27,743.86,470.16,8.0,59.51,2023-02-20 13:14:00
142,41,1,188,1,70.02,53.85,0.0,0.0,70.02,53.85,8.0,5.6,2024-09-23 12:33:00
143,42,1,135,2,304.43,128.55,0.0,0.0,608.86,257.1,8.0,48.71,2024-06-28 14:12:00
144,42,2,169,5,279.99,189.95,20.0,279.99,1119.96,949.75,8.0,89.6,2024-06-28 14:12:00
145,43,1,118,2,460.35,256.22,15.0,138.1,782.6,512.44,8.0,62.61,2024-10-15 17:22:00
146,43,2,180,5,199.42,148.66,20.0,199.42,797.68,743.3,8.0,63.81,2024-10-15 17:22:00
147,43,3,171,4,473.55,273.74,0.0,0.0,1894.2,1094.96,8.0,151.54,2024-10-15 17:22:00
148,43,4,110,5,539.34,225.0,20.0,539.34,2157.36,1125.0,8.0,172.59,2024-10-15 17:22:00
149,43,5,27,3,478.22,211.98,20.0,286.93,1147.73,635.94,8.0,91.82,2024-10-15 17:22:00
150,43,6,43,2,144.45,66.91,15.0,43.34,245.56,133.82,8.0,19.64,2024-10-15 17:22:00
151,44,1,196,3,403.42,237.92,5.0,60.51,1149.75,713.76,8.0,91.98,2023-11-29 21:23:00
152,44,2,163,5,134.81,87.34,0.0,0.0,674.05,436.7,8.0,53.92,2023-11-29 21:23:00
153,44,3,111,2,436.77,291.89,0.0,0.0,873.54,583.78,8.0,69.88,2023-11-29 21:23:00
154,44,4,186,5,387.57,251.29,5.0,96.89,1840.96,1256.45,8.0,147.28,2023-11-29 21:23:00
155,45,1,1,5,184.37,122.01,5.0,46.09,875.76,610.05,8.0,70.06,2024-01-04 15:28:00
156,45,2,186,1,387.57,251.29,5.0,19.38,368.19,251.29,8.0,29.46,2024-01-04 15:28:00
157,45,3,9,5,312.02,239.51,0.0,0.0,1560.1,1197.55,8.0,124.81,2024-01-04 15:28:00
158,45,4,73,2,330.51,192.98,5.0,33.05,627.97,385.96,8.0,50.24,2024-01-04 15:28:00
159,46,1,131,1,251.67,106.11,20.0,50.33,201.34,106.11,8.0,16.11,2024-12-07 21:17:00
160,46,2,143,4,66.47,38.32,15.0,39.88,226.0,153.28,8.0,18.08,2024-12-07 21:17:00
161,46,3,147,3,185.39,136.89,5.0,27.81,528.36,410.67,8.0,42.27,2024-12-07 21:17:00
162,46,4,40,2,356.48,239.78,10.0,71.3,641.66,479.56,8.0,51.33,2024-12-07 21:17:00
163,46,5,25,2,550.97,246.59,15.0,165.29,936.65,493.18,8.0,74.93,2024-12-07 21:17:00
164,47,1,146,3,29.57,19.85,20.0,17.74,70.97,59.55,8.0,5.68,2023-11-04 09:36:00
165,47,2,56,4,191.12,108.7,0.0,0.0,764.48,434.8,8.0,61.16,2023-11-04 09:36:00
166,47,3,188,2,70.02,53.85,0.0,0.0,140.04,107.7,8.0,11.2,2023-11-04 09:36:00
167,47,4,20,4,68.1,48.05,5.0,13.62,258.78,192.2,8.0,20.7,2023-11-04 09:36:00
168,48,1,98,3,374.73,212.83,5.0,56.21,1067.98,638.49,8.0,85.44,2023-02-08 19:51:00
169,48,2,21,3,262.01,180.17,0.0,0.0,786.03,540.51,8.0,62.88,2023-02-08 19:51:00
170,48,3,200,4,400.86,233.39,5.0,80.17,1523.27,933.56,8.0,121.86,2023-02-08 19:51:00
171,48,4,15,4,472.39,290.83,5.0,94.48,1795.08,1163.32,8.0,143.61,2023-02-08 19:51:00
172,48,5,198,1,168.14,125.61,0.0,0.0,168.14,125.61,8.0,13.45,2023-02-08 19:51:00
173,49,1,11,3,398.08,171.93,0.0,0.0,1194.24,515.79,8.0,95.54,2024-01-27 08:19:00
174,49,2,82,5,372.71,186.16,5.0,93.18,1770.37,930.8,8.0,141.63,2024-01-27 08:19:00
175,49,3,139,2,176.49,130.67,20.0,70.6,282.38,261.34,8.0,22.59,2024-01-27 08:19:00
176,49,4,145,2,20.38,8.44,20.0,8.15,32.61,16.88,8.0,2.61,2024-01-27 08:19:00
177,49,5,39,1,602.18,245.49,15.0,90.33,511.85,245.49,8.0,40.95,2024-01-27 08:19:00
178,50,1,75,3,71.89,50.85,0.0,0.0,215.67,152.55,8.0,17.25,2024-05-31 09:14:00
179,50,2,101,1,87.5,55.4,0.0,0.0,87.5,55.4,8.0,7.0,2024-05-31 09:14:00
180,50,3,38,4,309.82,168.7,20.0,247.86,991.42,674.8,8.0,79.31,2024-05-31 09:14:00
181,50,4,34,5,184.23,87.11,0.0,0.0,921.15,435.55,8.0,73.69,2024-05-31 09:14:00
182,51,1,34,4,184.23,87.11,0.0,0.0,736.92,348.44,8.0,58.95,2024-05-28 14:49:00
183,51,2,196,4,403.42,237.92,5.0,80.68,1533.0,951.68,8.0,122.64,2024-05-28 14:49:00
184,51,3,35,5,80.02,38.62,10.0,40.01,360.09,193.1,8.0,28.81,2024-05-28 14:49:00
185,51,4,124,2,303.62,129.04,0.0,0.0,607.24,258.08,8.0,48.58,2024-05-28 14:49:00
186,51,5,144,5,331.24,158.13,15.0,248.43,1407.77,790.65,8.0,112.62,2024-05-28 14:49:00
187,51,6,51,5,410.82,201.03,15.0,308.12,1745.98,1005.15,8.0,139.68,2024-05-28 14:49:00
188,52,1,23,3,459.09,290.77,20.0,275.45,1101.82,872.31,8.0,88.15,2023-11-28 18:59:00
189,52,2,29,3,233.21,136.5,0.0,0.0,699.63,409.5,8.0,55.97,2023-11-28 18:59:00
190,52,3,172,2,447.19,228.01,10.0,89.44,804.94,456.02,8.0,64.4,2023-11-28 18:59:00
191,52,4,106,3,146.53,64.57,0.0,0.0,439.59,193.71,8.0,35.17,2023-11-28 18:59:00
192,52,5,109,3,25.01,16.05,15.0,11.25,63.78,48.15,8.0,5.1,2023-11-28 18:59:00
193,53,1,160,2,264.09,209.42,20.0,105.64,422.54,418.84,8.0,33.8,2024-09-23 21:51:00
194,53,2,38,2,309.82,168.7,20.0,123.93,495.71,337.4,8.0,39.66,2024-09-23 21:51:00
195,53,3,113,3,103.85,45.02,0.0,0.0,311.55,135.06,8.0,24.92,2024-09-23 21:51:00
196,53,4,12,2,323.71,206.91,0.0,0.0,647.42,413.82,8.0,51.79,2024-09-23 21:51:00
197,54,1,4,1,312.35,152.29,20.0,62.47,249.88,152.29,8.0,19.99,2024-09-27 10:55:00
198,54,2,88,3,197.18,149.68,0.0,0.0,591.54,449.04,8.0,47.32,2024-09-27 10:55:00
199,54,3,178,4,176.35,98.75,0.0,0.0,705.4,395.0,8.0,56.43,2024-09-27 10:55:00
200,55,1,124,1,303.62,129.04,0.0,0.0,303.62,129.04,8.0,24.29,2024-06-19 20:16:00
201,55,2,160,4,264.09,209.42,20.0,211.27,845.09,837.68,8.0,67.61,2024-06-19 20:16:00
202,55,3,187,5,434.92,291.94,5.0,108.73,2065.87,1459.7,8.0,165.27,2024-06-19 20:16:00
203,55,4,37,5,123.99,59.0,10.0,61.99,557.96,295.0,8.0,44.64,2024-06-19 20:16:00
204,55,5,178,1,176.35,98.75,0.0,0.0,176.35,98.75,8.0,14.11,2024-06-19 20:16:00
205,56,1,168,3,291.71,156.72,15.0,131.27,743.86,470.16,8.0,59.51,2024-09-24 12:03:00
206,56,2,3,3,18.77,9.78,0.0,0.0,56.31,29.34,8.0,4.5,2024-09-24 12:03:00
207,56,3,18,1,46.7,35.47,10.0,4.67,42.03,35.47,8.0,3.36,2024-09-24 12:03:00
208,56,4,100,1,83.97,50.31,20.0,16.79,67.18,50.31,8.0,5.37,2024-09-24 12:03:00
209,57,1,125,1,209.65,144.3,0.0,0.0,209.65,144.3,8.0,16.77,2024-12-27 09:57:00
210,57,2,153,2,615.2,277.69,15.0,184.56,1045.84,555.38,8.0,83.67,2024-12-27 09:57:00
211,57,3,137,2,11.53,8.76,0.0,0.0,23.06,17.52,8.0,1.84,2024-12-27 09:57:00
212,58,1,101,3,87.5,55.4,0.0,0.0,262.5,166.2,8.0,21.0,2024-06-26 12:21:00
213,58,2,191,3,566.98,264.16,0.0,0.0,1700.94,792.48,8.0,136.08,2024-06-26 12:21:00
214,58,3,41,3,269.32,173.95,20.0,161.59,646.37,521.85,8.0,51.71,2024-06-26 12:21:00
215,58,4,5,3,117.35,54.93,15.0,52.81,299.24,164.79,8.0,23.94,2024-06-26 12:21:00
216,59,1,39,4,602.18,245.49,15.0,361.31,2047.41,981.96,8.0,163.79,2023-01-31 16:17:00
217,59,2,88,2,197.18,149.68,0.0,0.0,394.36,299.36,8.0,31.55,2023-01-31 16:17:00
218,60,1,62,3,506.87,220.34,5.0,76.03,1444.58,661.02,8.0,115.57,2024-10-02 18:14:00
219,60,2,147,5,185.39,136.89,5.0,46.35,880.6,684.45,8.0,70.45,2024-10-02 18:14:00
220,60,3,40,3,356.48,239.78,10.0,106.94,962.5,719.34,8.0,77.0,2024-10-02 18:14:00
221,60,4,110,4,539.34,225.0,20.0,431.47,1725.89,900.0,8.0,138.07,2024-10-02 18:14:00
222,61,1,177,2,115.0,78.95,0.0,0.0,230.0,157.9,8.0,18.4,2023-07-27 21:08:00
223,61,2,181,4,518.17,219.59,20.0,414.54,1658.14,878.36,8.0,132.65,2023-07-27 21:08:00
224,61,3,135,2,304.43,128.55,0.0,0.0,608.86,257.1,8.0,48.71,2023-07-27 21:08:00
225,62,1,187,3,434.92,291.94,5.0,65.24,1239.52,875.82,8.0,99.16,2023-05-02 10:20:00
226,62,2,8,4,578.57,242.82,0.0,0.0,2314.28,971.28,8.0,185.14,2023-05-02 10:20:00
227,63,1,196,5,403.42,237.92,5.0,100.86,1916.24,1189.6,8.0,153.3,2023-04-20 10:11:00
228,64,1,92,1,91.42,42.57,20.0,18.28,73.14,42.57,8.0,5.85,2023-08-26 11:43:00
229,65,1,126,2,109.67,47.25,0.0,0.0,219.34,94.5,8.0,17.55,2024-01-18 10:54:00
230,65,2,122,2,225.99,106.23,15.0,67.8,384.18,212.46,8.0,30.73,2024-01-18 10:54:00
231,65,3,36,1,422.49,187.12,10.0,42.25,380.24,187.12,8.0,30.42,2024-01-18 10:54:00
232,65,4,42,4,455.3,222.12,5.0,91.06,1730.14,888.48,8.0,138.41,2024-01-18 10:54:00
233,66,1,158,4,139.15,63.97,0.0,0.0,556.6,255.88,8.0,44.53,2023-07-29 09:11:00
234,66,2,126,2,109.67,47.25,0.0,0.0,219.34,94.5,8.0,17.55,2023-07-29 09:11:00
235,66,3,177,4,115.0,78.95,0.0,0.0,460.0,315.8,8.0,36.8,2023-07-29 09:11:00
236,66,4,84,4,324.65,146.51,0.0,0.0,1298.6,586.04,8.0,103.89,2023-07-29 09:11:00
237,67,1,138,5,345.22,139.74,0.0,0.0,1726.1,698.7,8.0,138.09,2024-09-18 19:36:00
238,67,2,135,1,304.43,128.55,0.0,0.0,304.43,128.55,8.0,24.35,2024-09-18 19:36:00
239,67,3,165,4,352.39,158.58,10.0,140.96,1268.6,634.32,8.0,101.49,2024-09-18 19:36:00
240,67,4,181,4,518.17,219.59,20.0,414.54,1658.14,878.36,8.0,132.65,2024-09-18 19:36:00
241,67,5,10,1,55.16,32.58,15.0,8.27,46.89,32.58,8.0,3.75,2024-09-18 19:36:00
242,68,1,13,3,443.38,279.02,20.0,266.03,1064.11,837.06,8.0,85.13,2024-07-25 14:33:00
243,68,2,49,4,314.94,172.01,0.0,0.0,1259.76,688.04,8.0,100.78,2024-07-25 14:33:00
244,68,3,75,2,71.89,50.85,0.0,0.0,143.78,101.7,8.0,11.5,2024-07-25 14:33:00
245,68,4,113,4,103.85,45.02,0.0,0.0,415.4,180.08,8.0,33.23,2024-07-25 14:33:00
246,68,5,102,3,139.99,59.54,0.0,0.0,419.97,178.62,8.0,33.6,2024-07-25 14:33:00
247,68,6,78,5,78.25,35.06,20.0,78.25,313.0,175.3,8.0,25.04,2024-07-25 14:33:00
248,69,1,29,5,233.21,136.5,0.0,0.0,1166.05,682.5,8.0,93.28,2024-04-07 09:46:00
249,69,2,47,2,269.32,123.84,5.0,26.93,511.71,247.68,8.0,40.94,2024-04-07 09:46:00
