transaction_id,transaction_code,transaction_date,store_id,customer_id,cashier_id,transaction_type,channel,subtotal_amount,discount_amount,tax_amount,total_amount,loyalty_points_earned,loyalty_points_redeemed,notes,created_at
56,TXN00000056,2024-09-24 12:03:00,10,357,19,SALE,MOBILE,1062.11,152.73,72.74,982.12,982,0,,2024-09-24 12:03:00
57,TXN00000057,2024-12-27 09:57:00,8,261,33,SALE,ONLINE,1463.11,184.56,102.28,1380.83,1380,0,,2024-12-27 09:57:00
58,TXN00000058,2024-06-26 12:21:00,1,,16,SALE,MOBILE,3123.45,214.4,232.73,3141.78,3141,0,,2024-06-26 12:21:00
59,TXN00000059,2023-01-31 16:17:00,9,456,6,SALE,MOBILE,2803.08,361.31,195.34,2637.11,2637,0,,2023-01-31 16:17:00
60,TXN00000060,2024-10-02 18:14:00,17,314,35,SALE,IN_STORE,5674.36,660.79,401.09,5414.66,5414,0,,2024-10-02 18:14:00
61,TXN00000061,2023-07-27 21:08:00,19,410,42,SALE,MOBILE,2911.54,414.54,199.76,2696.76,2696,0,,2023-07-27 21:08:00
62,TXN00000062,2023-05-02 10:20:00,3,486,27,SALE,ONLINE,3619.04,65.24,284.3,3838.1,3838,0,,2023-05-02 10:20:00
63,TXN00000063,2023-04-20 10:11:00,9,97,40,SALE,ONLINE,2017.1,100.86,153.3,2069.54,2069,0,,2023-04-20 10:11:00
64,TXN00000064,2023-08-26 11:43:00,19,306,45,SALE,ONLINE,91.42,18.28,5.85,78.99,78,0,,2023-08-26 11:43:00
65,TXN00000065,2024-01-18 10:54:00,20,333,49,SALE,IN_STORE,2915.01,201.11,217.11,2931.01,2931,0,,2024-01-18 10:54:00
66,TXN00000066,2023-07-29 09:11:00,8,104,50,SALE,IN_STORE,2534.54,0.0,202.77,2737.31,2737,0,,2023-07-29 09:11:00
67,TXN00000067,2024-09-18 19:36:00,13,202,16,SALE,MOBILE,5567.93,563.77,400.33,5404.49,5404,0,,2024-09-18 19:36:00
68,TXN00000068,2024-07-25 14:33:00,13,21,4,SALE,MOBILE,3960.3,344.28,289.28,3905.3,3905,0,,2024-07-25 14:33:00
69,TXN00000069,2024-04-07 09:46:00,5,331,29,SALE,IN_STORE,4778.03,232.57,363.64,4909.1,4909,0,,2024-04-07 09:46:00
70,TXN00000070,2023-07-26 15:05:00,19,459,8,SALE,MOBILE,1301.03,108.61,95.4,1287.82,1287,0,,2023-07-26 15:05:00
71,TXN00000071,2024-12-25 14:46:00,12,,11,SALE,IN_STORE,4346.45,252.98,327.47,4420.94,4420,0,,2024-12-25 14:46:00
72,TXN00000072,2024-04-01 12:40:00,14,374,40,SALE,ONLINE,749.67,0.0,59.98,809.65,809,0,,2024-04-01 12:40:00
73,TXN00000073,2024-07-10 20:00:00,15,256,39,SALE,MOBILE,2565.35,285.74,182.37,2461.98,2461,0,,2024-07-10 20:00:00
74,TXN00000074,2024-09-26 18:35:00,8,143,42,SALE,ONLINE,1458.27,291.65,93.33,1259.95,1259,0,,2024-09-26 18:35:00
75,TXN00000075,2024-08-14 21:38:00,5,342,11,SALE,MOBILE,3318.73,544.62,221.93,2996.04,2996,0,,2024-08-14 21:38:00
76,TXN00000076,2023-02-06 09:49:00,15,185,5,SALE,ONLINE,3234.11,187.89,243.7,3289.92,3289,0,,2023-02-06 09:49:00
77,TXN00000077,2023-10-09 13:33:00,5,441,6,SALE,ONLINE,3556.17,597.12,236.72,3195.77,3195,0,,2023-10-09 13:33:00
78,TXN00000078,2023-11-21 12:33:00,10,435,40,SALE,IN_STORE,3792.19,219.42,285.82,3858.59,3858,0,,2023-11-21 12:33:00
79,TXN00000079,2024-10-02 20:07:00,1,239,17,SALE,IN_STORE,3822.1,153.4,293.49,3962.19,3962,0,,2024-10-02 20:07:00
80,TXN00000080,2023-01-07 09:43:00,17,393,12,SALE,IN_STORE,2073.42,19.38,164.33,2218.37,2218,0,,2023-01-07 09:43:00
81,TXN00000081,2023-02-06 18:08:00,16,409,34,SALE,ONLINE,3860.9,473.88,270.97,3657.99,3657,0,,2023-02-06 18:08:00
82,TXN00000082,2023-08-02 17:43:00,11,10,25,SALE,MOBILE,2794.42,300.37,199.51,2693.56,2693,0,,2023-08-02 17:43:00
83,TXN00000083,2023-07-11 17:07:00,6,200,6,SALE,ONLINE,2941.11,186.24,220.39,2975.26,2975,0,,2023-07-11 17:07:00
84,TXN00000084,2023-08-10 16:19:00,15,155,6,SALE,ONLINE,1160.87,46.38,89.16,1203.65,1203,0,,2023-08-10 16:19:00
85,TXN00000085,2024-05-27 10:12:00,1,464,50,SALE,IN_STORE,1729.78,0.0,138.38,1868.16,1868,0,,2024-05-27 10:12:00
86,TXN00000086,2024-04-15 14:45:00,5,19,7,SALE,MOBILE,3144.22,17.9,250.11,3376.43,3376,0,,2024-04-15 14:45:00
87,TXN00000087,2023-08-03 13:12:00,19,328,50,SALE,ONLINE,3409.17,118.98,263.22,3553.41,3553,0,,2023-08-03 13:12:00
88,TXN00000088,2023-04-28 08:39:00,9,141,37,SALE,IN_STORE,5041.8,719.95,345.75,4667.6,4667,0,,2023-04-28 08:39:00
89,TXN00000089,2024-07-07 15:03:00,10,174,25,SALE,IN_STORE,1018.54,0.0,81.49,1100.03,1100,0,,2024-07-07 15:03:00
90,TXN00000090,2024-09-02 17:40:00,14,361,6,SALE,MOBILE,4179.52,319.68,308.78,4168.62,4168,0,,2024-09-02 17:40:00
91,TXN00000091,2024-10-21 19:49:00,4,351,12,SALE,MOBILE,4773.4,183.98,367.16,4956.58,4956,0,,2024-10-21 19:49:00
92,TXN00000092,2024-05-01 09:22:00,15,34,33,SALE,IN_STORE,4495.79,152.67,347.45,4690.57,4690,0,,2024-05-01 09:22:00
93,TXN00000093,2023-03-14 20:19:00,4,333,25,SALE,IN_STORE,5587.27,227.25,428.8,5788.82,5788,0,,2023-03-14 20:19:00
94,TXN00000094,2024-08-03 20:21:00,19,223,39,SALE,ONLINE,3525.47,371.5,252.33,3406.3,3406,0,,2024-08-03 20:21:00
95,TXN00000095,2024-02-20 09:38:00,15,490,50,SALE,ONLINE,447.45,89.49,28.64,386.6,386,0,,2024-02-20 09:38:00
96,TXN00000096,2023-05-23 17:57:00,2,,13,SALE,IN_STORE,5889.65,813.62,406.08,5482.11,5482,0,,2023-05-23 17:57:00
97,TXN00000097,2023-11-08 14:45:00,19,348,9,SALE,ONLINE,3774.78,529.3,259.64,3505.12,3505,0,,2023-11-08 14:45:00
98,TXN00000098,2023-02-24 08:45:00,12,496,26,SALE,ONLINE,5146.32,194.92,396.11,5347.51,5347,0,,2023-02-24 08:45:00
99,TXN00000099,2024-05-01 10:12:00,18,89,10,SALE,MOBILE,2734.16,320.54,193.1,2606.72,2606,0,,2024-05-01 10:12:00
100,TXN00000100,2023-03-28 10:41:00,14,70,28,SALE,MOBILE,3290.32,64.96,258.02,3483.38,3483,0,,2023-03-28 10:41:00
101,TXN00000101,2024-03-10 17:00:00,13,96,3,SALE,IN_STORE,3057.26,336.11,217.7,2938.85,2938,0,,2024-03-10 17:00:00
102,TXN00000102,2024-08-17 15:44:00,16,58,49,SALE,ONLINE,619.95,61.99,44.64,602.6,602,0,,2024-08-17 15:44:00
103,TXN00000103,2024-09-16 09:15:00,17,,40,SALE,IN_STORE,2461.11,220.27,179.26,2420.1,2420,0,,2024-09-16 09:15:00
104,TXN00000104,2024-04-25 17:46:00,1,263,45,SALE,MOBILE,2241.85,0.0,179.35,2421.2,2421,0,,2024-04-25 17:46:00
105,TXN00000105,2023-06-23 17:03:00,2,297,9,SALE,MOBILE,4736.34,335.48,352.08,4752.94,4752,0,,2023-06-23 17:03:00
106,TXN00000106,2023-04-25 17:11:00,9,,34,SALE,IN_STORE,4114.4,513.6,288.07,3888.87,3888,0,,2023-04-25 17:11:00
107,TXN00000107,2023-06-07 21:31:00,5,421,47,SALE,ONLINE,1980.08,163.0,145.37,1962.45,1962,0,,2023-06-07 21:31:00
108,TXN00000108,2023-02-23 10:29:00,9,60,31,SALE,ONLINE,3409.65,494.51,233.22,3148.36,3148,0,,2023-02-23 10:29:00
109,TXN00000109,2024-04-04 14:43:00,14,,28,SALE,MOBILE,3798.12,0.0,303.85,4101.97,4101,0,,2024-04-04 14:43:00
110,TXN00000110,2023-09-19 18:37:00,9,51,22,SALE,MOBILE,4081.68,392.19,295.16,3984.65,3984,0,,2023-09-19 18:37:00
111,TXN00000111,2023-01-09 21:04:00,18,,34,SALE,IN_STORE,146.53,0.0,11.72,158.25,158,0,,2023-01-09 21:04:00
112,TXN00000112,2023-09-15 11:02:00,12,146,4,SALE,MOBILE,82.03,12.3,5.58,75.31,75,0,,2023-09-15 11:02:00
113,TXN00000113,2024-09-11 10:24:00,4,,18,SALE,ONLINE,4345.34,626.99,297.47,4015.82,4015,0,,2024-09-11 10:24:00
114,TXN00000114,2023-03-05 14:24:00,6,142,32,SALE,IN_STORE,2090.37,0.0,167.23,2257.6,2257,0,,2023-03-05 14:24:00
115,TXN00000115,2023-04-22 10:34:00,13,252,5,SALE,IN_STORE,2007.67,35.24,157.8,2130.23,2130,0,,2023-04-22 10:34:00
116,TXN00000116,2024-05-24 10:41:00,9,10,31,SALE,ONLINE,6608.59,438.86,493.57,6663.3,6663,0,,2024-05-24 10:41:00
117,TXN00000117,2024-01-29 19:52:00,3,2,41,SALE,MOBILE,3373.28,36.02,266.98,3604.24,3604,0,,2024-01-29 19:52:00
118,TXN00000118,2023-12-15 09:53:00,12,492,25,SALE,MOBILE,1910.74,87.35,145.88,1969.27,1969,0,,2023-12-15 09:53:00
119,TXN00000119,2024-12-06 13:31:00,13,323,48,SALE,IN_STORE,2296.16,344.42,156.14,2107.88,2107,0,,2024-12-06 13:31:00
120,TXN00000120,2024-08-30 11:31:00,7,,3,SALE,ONLINE,3381.6,435.01,235.73,3182.32,3182,0,,2024-08-30 11:31:00
121,TXN00000121,2024-02-20 09:13:00,11,22,42,SALE,IN_STORE,6420.41,493.4,474.15,6401.16,6401,0,,2024-02-20 09:13:00
122,TXN00000122,2024-12-19 18:08:00,20,,20,SALE,IN_STORE,97.88,19.58,6.26,84.56,84,0,,2024-12-19 18:08:00
123,TXN00000123,2023-03-07 21:52:00,20,303,39,SALE,MOBILE,380.28,0.0,30.42,410.7,410,0,,2023-03-07 21:52:00
124,TXN00000124,2024-11-25 14:20:00,7,416,35,SALE,IN_STORE,447.45,89.49,28.64,386.6,386,0,,2024-11-25 14:20:00
125,TXN00000125,2023-03-06 09:17:00,2,172,36,SALE,IN_STORE,1722.06,172.2,123.99,1673.85,1673,0,,2023-03-06 09:17:00
126,TXN00000126,2023-05-17 09:50:00,8,21,19,SALE,ONLINE,2624.93,245.51,190.35,2569.77,2569,0,,2023-05-17 09:50:00
127,TXN00000127,2023-10-05 16:28:00,5,328,40,SALE,IN_STORE,2664.91,315.87,187.92,2536.96,2536,0,,2023-10-05 16:28:00
128,TXN00000128,2023-08-30 11:07:00,14,,4,SALE,IN_STORE,5673.26,758.44,393.2,5308.02,5308,0,,2023-08-30 11:07:00
129,TXN00000129,2024-04-30 15:11:00,5,496,19,SALE,IN_STORE,1418.32,44.72,109.89,1483.49,1483,0,,2024-04-30 15:11:00
130,TXN00000130,2024-04-09 08:06:00,9,413,38,SALE,ONLINE,7220.26,179.34,563.27,7604.19,7604,0,,2024-04-09 08:06:00
131,TXN00000131,2023-11-30 11:49:00,7,460,7,SALE,IN_STORE,649.3,0.0,51.94,701.24,701,0,,2023-11-30 11:49:00
132,TXN00000132,2023-03-17 15:37:00,7,113,24,SALE,IN_STORE,5779.09,503.63,422.05,5697.51,5697,0,,2023-03-17 15:37:00
133,TXN00000133,2023-10-04 11:21:00,7,500,18,SALE,IN_STORE,1736.45,0.0,138.92,1875.37,1875,0,,2023-10-04 11:21:00
134,TXN00000134,2023-12-18 11:56:00,15,88,36,SALE,IN_STORE,5311.74,577.22,378.76,5113.28,5113,0,,2023-12-18 11:56:00
135,TXN00000135,2023-08-10 17:30:00,14,251,38,SALE,IN_STORE,4654.66,706.83,315.82,4263.65,4263,0,,2023-08-10 17:30:00
136,TXN00000136,2023-01-06 14:02:00,5,460,3,SALE,ONLINE,2199.85,0.0,175.99,2375.84,2375,0,,2023-01-06 14:02:00
137,TXN00000137,2024-12-14 21:06:00,13,409,23,SALE,ONLINE,2782.37,150.76,210.53,2842.14,2842,0,,2024-12-14 21:06:00
138,TXN00000138,2023-06-15 19:29:00,1,157,46,SALE,MOBILE,4366.39,245.55,329.68,4450.52,4450,0,,2023-06-15 19:29:00
139,TXN00000139,2023-12-07 16:02:00,3,354,14,SALE,MOBILE,6621.7,601.26,481.63,6502.07,6502,0,,2023-12-07 16:02:00
140,TXN00000140,2023-02-26 16:58:00,20,377,36,SALE,MOBILE,6113.28,147.46,477.27,6443.09,6443,0,,2023-02-26 16:58:00
141,TXN00000141,2024-10-26 15:47:00,11,59,44,SALE,ONLINE,6245.32,265.7,478.38,6458.0,6458,0,,2024-10-26 15:47:00
142,TXN00000142,2024-05-12 16:33:00,3,232,44,SALE,MOBILE,2199.85,0.0,175.99,2375.84,2375,0,,2024-05-12 16:33:00
143,TXN00000143,2024-12-10 20:56:00,20,345,6,SALE,IN_STORE,1259.76,0.0,100.78,1360.54,1360,0,,2024-12-10 20:56:00
144,TXN00000144,2023-03-20 09:10:00,6,490,34,SALE,MOBILE,1783.48,170.13,129.07,1742.42,1742,0,,2023-03-20 09:10:00
145,TXN00000145,2024-07-08 10:30:00,10,350,5,SALE,IN_STORE,3331.4,175.09,252.51,3408.82,3408,0,,2024-07-08 10:30:00
146,TXN00000146,2024-11-02 18:50:00,11,176,30,SALE,ONLINE,4318.05,0.0,345.45,4663.5,4663,0,,2024-11-02 18:50:00
147,TXN00000147,2023-06-25 20:16:00,5,157,10,SALE,ONLINE,1374.69,23.19,108.12,1459.62,1459,0,,2023-06-25 20:16:00
148,TXN00000148,2024-12-29 16:18:00,6,83,16,SALE,IN_STORE,1021.82,80.45,75.31,1016.68,1016,0,,2024-12-29 16:18:00
149,TXN00000149,2023-09-24 13:11:00,11,226,23,SALE,IN_STORE,1570.33,111.64,116.69,1575.38,1575,0,,2023-09-24 13:11:00
150,TXN00000150,2023-11-05 09:58:00,18,274,50,SALE,IN_STORE,1719.32,0.0,137.55,1856.87,1856,0,,2023-11-05 09:58:00
151,TXN00000151,2024-07-13 16:21:00,11,497,3,SALE,IN_STORE,3389.8,393.54,239.7,3235.96,3235,0,,2024-07-13 16:21:00
152,TXN00000152,2024-09-24 21:14:00,4,206,15,SALE,ONLINE,5128.54,312.46,385.28,5201.36,5201,0,,2024-09-24 21:14:00
153,TXN00000153,2024-11-24 18:05:00,3,229,10,SALE,MOBILE,4417.47,177.66,339.18,4578.99,4578,0,,2024-11-24 18:05:00
154,TXN00000154,2023-10-19 13:22:00,12,7,29,SALE,ONLINE,3677.12,617.59,244.77,3304.3,3304,0,,2023-10-19 13:22:00
155,TXN00000155,2024-09-04 09:09:00,14,301,5,SALE,MOBILE,1069.22,179.95,71.14,960.41,960,0,,2024-09-04 09:09:00
156,TXN00000156,2024-10-16 12:26:00,3,,13,SALE,IN_STORE,1005.29,83.5,73.74,995.53,995,0,,2024-10-16 12:26:00
157,TXN00000157,2023-11-06 21:37:00,10,22,1,SALE,IN_STORE,1335.06,217.19,89.43,1207.3,1207,0,,2023-11-06 21:37:00
158,TXN00000158,2023-10-22 14:11:00,16,341,39,SALE,MOBILE,1530.96,41.87,119.13,1608.22,1608,0,,2023-10-22 14:11:00
159,TXN00000159,2024-10-05 18:30:00,19,133,30,SALE,MOBILE,4501.66,289.74,336.94,4548.86,4548,0,,2024-10-05 18:30:00
160,TXN00000160,2024-01-05 14:40:00,6,,50,SALE,MOBILE,2036.79,88.68,155.86,2103.97,2103,0,,2024-01-05 14:40:00
161,TXN00000161,2023-11-27 21:20:00,20,279,9,SALE,MOBILE,4666.66,213.24,356.28,4809.7,4809,0,,2023-11-27 21:20:00
162,TXN00000162,2023-06-16 09:13:00,16,472,40,SALE,MOBILE,2487.4,249.98,179.0,2416.42,2416,0,,2023-06-16 09:13:00
163,TXN00000163,2023-04-27 14:29:00,18,360,2,SALE,ONLINE,190.14,0.0,15.21,205.35,205,0,,2023-04-27 14:29:00
164,TXN00000164,2024-09-03 16:48:00,12,227,9,SALE,MOBILE,667.41,71.53,47.67,643.55,643,0,,2024-09-03 16:48:00
165,TXN00000165,2023-03-22 14:44:00,10,67,50,SALE,ONLINE,68.1,3.4,5.18,69.88,69,0,,2023-03-22 14:44:00
166,TXN00000166,2024-11-06 16:37:00,2,17,17,SALE,IN_STORE,439.97,0.0,35.2,475.17,475,0,,2024-11-06 16:37:00
167,TXN00000167,2023-04-09 20:07:00,10,387,38,SALE,ONLINE,3812.59,561.96,260.04,3510.67,3510,0,,2023-04-09 20:07:00
168,TXN00000168,2023-09-05 16:36:00,17,314,49,SALE,IN_STORE,333.65,33.37,24.02,324.3,324,0,,2023-09-05 16:36:00
169,TXN00000169,2023-10-16 10:57:00,7,494,44,SALE,IN_STORE,3799.52,271.77,282.22,3809.97,3809,0,,2023-10-16 10:57:00
170,TXN00000170,2023-08-22 14:07:00,13,264,49,SALE,ONLINE,4921.41,0.0,393.72,5315.13,5315,0,,2023-08-22 14:07:00
171,TXN00000171,2024-01-30 12:29:00,3,60,5,SALE,ONLINE,6905.74,327.81,526.23,7104.16,7104,0,,2024-01-30 12:29:00
172,TXN00000172,2024-11-19 09:25:00,1,252,45,SALE,MOBILE,2521.26,220.06,184.1,2485.3,2485,0,,2024-11-19 09:25:00
173,TXN00000173,2023-07-23 13:12:00,6,,49,SALE,MOBILE,7265.4,199.2,565.3,7631.5,7631,0,,2023-07-23 13:12:00
174,TXN00000174,2024-02-19 15:32:00,12,309,32,SALE,ONLINE,1003.91,71.74,74.57,1006.74,1006,0,,2024-02-19 15:32:00
175,TXN00000175,2023-02-24 21:04:00,1,,40,SALE,MOBILE,3902.79,308.77,287.52,3881.54,3881,0,,2023-02-24 21:04:00
176,TXN00000176,2024-05-19 20:29:00,3,267,33,SALE,ONLINE,387.4,0.0,30.99,418.39,418,0,,2024-05-19 20:29:00
177,TXN00000177,2024-07-13 08:48:00,11,277,25,SALE,ONLINE,436.77,0.0,34.94,471.71,471,0,,2024-07-13 08:48:00
178,TXN00000178,2023-07-01 16:42:00,15,17,46,SALE,ONLINE,2690.59,457.88,178.61,2411.32,2411,0,,2023-07-01 16:42:00
179,TXN00000179,2024-11-06 16:43:00,4,252,38,SALE,ONLINE,4341.88,546.46,303.64,4099.06,4099,0,,2024-11-06 16:43:00
180,TXN00000180,2023-11-25 08:01:00,12,146,28,SALE,ONLINE,4479.65,0.0,358.37,4838.02,4838,0,,2023-11-25 08:01:00
181,TXN00000181,2023-09-08 11:15:00,12,,3,SALE,ONLINE,3976.79,146.95,306.38,4136.22,4136,0,,2023-09-08 11:15:00
182,TXN00000182,2023-10-01 08:44:00,19,216,7,SALE,ONLINE,3378.44,385.41,239.45,3232.48,3232,0,,2023-10-01 08:44:00
183,TXN00000183,2024-11-14 13:10:00,7,258,4,SALE,ONLINE,4843.58,320.97,361.8,4884.41,4884,0,,2024-11-14 13:10:00
184,TXN00000184,2023-04-05 19:54:00,13,320,23,SALE,IN_STORE,8914.97,627.22,663.02,8950.77,8950,0,,2023-04-05 19:54:00
